,Prd Date,Case Number,road,intersection,number injured,fatal indicator,local codes,Day of Week,Time,"Contributing Factor Primary
",Contributing Factor Secondary,CTV,lat,long,seconds_since,month
133,02/17/2022,S8S114F4QD5D,TAUGHANNOCK BOULEVARD,KRAFT ROAD,0,N,S22-02272,THURSDAY,17:43,61.0,77.0,5558,42.5168791,-76.592807,63780.0,2
134,02/17/2022,S80K91F4NP50,CODDINGTON ROAD,,0,N,S22-02250,THURSDAY,04:50,61.0,77.0,5550,42.3641481,-76.4149224,17400.0,2
135,02/17/2022,S8S118F4QCDL,STATE HIGHWAY 13,,0,N,S22-02270,THURSDAY,16:45,27.0,99.0,5555,42.4290176,-76.5078603,60300.0,2
136,02/18/2022,S8S108F4T3QT,CATHERWOOD ROAD,CATHERWOOD RD,0,N,S22-02314,Friday,14:03,4.0,7.0,5523,42.4837477,-76.4868685,50580.0,2
137,02/18/2022,S8S119F4TKQR,WATERWAGON ROAD,EAST SHORE DRIVE,0,N,S22-02322,FRIDAY,09:00,19.0,77.0,5556,42.4977529,-76.5098078,32400.0,2
138,02/19/2022,S8S116F4WSCV,NORTH TRIPHAMMER ROAD,ASBURY ROAD,0,N,S22-02360,Saturday,10:23,77.0,99.0,5556,42.5248383,-76.4704781,37380.0,2
139,02/19/2022,S8S119F4XWF9,STATE HIGHWAY 13,HANSHAW ROAD,0,N,S22-02373,Saturday,18:51,7.0,77.0,5552,42.4672637,-76.4599749,67860.0,2
140,02/20/2022,S8S118F526CD,ELMIRA ROAD,,0,N,S22-02419,SUNDAY,19:20,61.0,77.0,5557,42.362536,-76.5957859,69600.0,2
141,02/20/2022,S8S120F4ZLW9,STATE HIGHWAY 13,,0,N,S22-02381,SUNDAY,00:02,61.0,77.0,5523,42.4290176,-76.5078603,120.0,2
142,02/21/2022,S8S111F55C1B,SLATERVILLE ROAD,,0,N,S22-02454,MONDAY,18:50,61.0,77.0,5555,42.3947362,-76.3769443,67800.0,2
143,02/22/2022,S8S115F56N4X,PERU SOUTH LANSING ROAD,,0,N,S22-02472,TUESDAY,04:46,61.0,77.0,5554,-9.189967,-75.015152,17160.0,2
144,02/23/2022,S8S117F5B7T2,SOUTH DANBY ROAD,,0,N,S22-02504,WEDNESDAY,06:44,61.0,77.0,5551,42.2972452,-76.4392953,24240.0,2
145,02/23/2022,S8S111F5D5C6,MAIN STREET,,0,N,S22-02529,WEDNESDAY,22:02,61.0,77.0,5521,42.4962636,-76.3709838,79320.0,2
146,02/24/2022,S8S112F5GH7Z,40 CATHERWOOD ROAD,,0,N,S22-02559,Thursday,15:21,3.0,4.0,5556,42.4835813,-76.49137080000001,55260.0,2
147,02/25/2022,S8S120F5JT8L,HAYTS ROAD,,0,N,S22-02588,Friday,09:00,69.0,77.0,5555,42.4665444,-76.5871689,32400.0,2
148,02/25/2022,S8S106F5JL2T,WARREN ROAD,,0,N,S22-02586,FRIDAY,07:19,66.0,77.0,5556,42.4885848,-76.4675805,26340.0,2
149,02/26/2022,S8S117F5NKJH,HALSEYVILLE RD,,0,N,S22-02645,Saturday,13:10,77.0,77.0,5558,42.4893081,-76.6335186,47400.0,2
